ShortLabel,ROcc_Hus,Geo
8744c1394ffffff,269,Hex
8744c1395ffffff,1119,Hex
8744c1396ffffff,315,Hex
8744c1398ffffff,1469,Hex
8744c1399ffffff,640,Hex
8744c139affffff,495,Hex
8744c139bffffff,173,Hex
8744c139cffffff,2285,Hex
8744c139dffffff,3505,Hex
8744c139effffff,4319,Hex
8744c13a0ffffff,2076,Hex
8744c13a1ffffff,2161,Hex
8744c13a2ffffff,507,Hex
8744c13a3ffffff,1881,Hex
8744c13a4ffffff,573,Hex
8744c13a5ffffff,209,Hex
8744c13a6ffffff,281,Hex
8744c13a8ffffff,559,Hex
8744c13a9ffffff,1799,Hex
8744c13aaffffff,1839,Hex
8744c13abffffff,621,Hex
8744c13acffffff,4572,Hex
8744c13adffffff,919,Hex
8744c13aeffffff,1077,Hex
8744c13b0ffffff,93,Hex
8744c13b1ffffff,198,Hex
8744c13b2ffffff,150,Hex
8744c13b3ffffff,217,Hex
8744c13b4ffffff,114,Hex
8744c13b5ffffff,129,Hex
8744c13b6ffffff,192,Hex
8744c1400ffffff,11,Hex
8744c1401ffffff,14,Hex
8744c1402ffffff,30,Hex
8744c1403ffffff,35,Hex
8744c1404ffffff,10,Hex
8744c1405ffffff,6,Hex
8744c062cffffff,0,Hex
8744c1406ffffff,12,Hex
8744c1408ffffff,12,Hex
8744c1409ffffff,7,Hex
8744c140affffff,3,Hex
8744c140bffffff,2,Hex
8744c140cffffff,35,Hex
8744c140dffffff,1,Hex
8744c140effffff,0,Hex
8744c1410ffffff,7,Hex
8744c1411ffffff,6,Hex
8744c1412ffffff,5,Hex
8744c1413ffffff,1,Hex
8744c1414ffffff,2,Hex
8744c1415ffffff,2,Hex
8744c1416ffffff,12,Hex
8744c1418ffffff,4,Hex
8744c1419ffffff,4,Hex
8744c141affffff,8,Hex
8744c141bffffff,4,Hex
8744c141cffffff,4,Hex
8744c141dffffff,1,Hex
8744c1420ffffff,5,Hex
8744c1421ffffff,3,Hex
8744c1422ffffff,6,Hex
8744c1423ffffff,5,Hex
8744c1424ffffff,1,Hex
8744c1425ffffff,1,Hex
8744c1426ffffff,3,Hex
8744c1428ffffff,47,Hex
8744c1429ffffff,21,Hex
8744c142affffff,19,Hex
8744c142bffffff,15,Hex
8744c142cffffff,0,Hex
8744c142dffffff,0,Hex
8744c142effffff,2,Hex
8744c1430ffffff,7,Hex
8744c1431ffffff,4,Hex
8744c1432ffffff,2,Hex
8744c1433ffffff,12,Hex
8744c1434ffffff,7,Hex
8744c1435ffffff,1,Hex
8744c1436ffffff,3,Hex
8744c1440ffffff,43,Hex
8744c1441ffffff,5,Hex
8744c1442ffffff,20,Hex
8744c1443ffffff,22,Hex
8744c1444ffffff,0,Hex
8744c1445ffffff,16,Hex
8744c1446ffffff,3,Hex
8744c1448ffffff,18,Hex
8744c1449ffffff,31,Hex
8744c144affffff,69,Hex
8744c144bffffff,6,Hex
8744c144cffffff,20,Hex
8744c144dffffff,9,Hex
8744c144effffff,13,Hex
8744c1450ffffff,14,Hex
8744c1451ffffff,27,Hex
8744c1452ffffff,6,Hex
8744c1453ffffff,5,Hex
8744c1454ffffff,8,Hex
8744c1455ffffff,11,Hex
8744c1456ffffff,1,Hex
8744c1458ffffff,558,Hex
8744c1459ffffff,725,Hex
8744c145affffff,487,Hex
8744c145bffffff,756,Hex
8744c145cffffff,34,Hex
8744c145dffffff,196,Hex
8744c145effffff,22,Hex
8744c1460ffffff,13,Hex
8744c1461ffffff,13,Hex
8744c1462ffffff,8,Hex
8744c1463ffffff,10,Hex
8744c1464ffffff,30,Hex
8744c1465ffffff,8,Hex
8744c1466ffffff,4,Hex
8744c1468ffffff,5,Hex
8744c1469ffffff,8,Hex
8744c146affffff,2,Hex
8744c146bffffff,23,Hex
8744c146cffffff,12,Hex
8744c146dffffff,8,Hex
8744c146effffff,12,Hex
8744c1470ffffff,184,Hex
8744c1471ffffff,0,Hex
8744c1472ffffff,8,Hex
8744c1473ffffff,2,Hex
8744c1474ffffff,211,Hex
8744c1475ffffff,21,Hex
8744c1476ffffff,45,Hex
8744c1480ffffff,19,Hex
8744c1482ffffff,2,Hex
8744c1484ffffff,12,Hex
8744c1485ffffff,17,Hex
8744c1486ffffff,13,Hex
8744c1488ffffff,3,Hex
8744c1489ffffff,3,Hex
8744c148affffff,5,Hex
8744c148bffffff,5,Hex
8744c148cffffff,4,Hex
8744c148dffffff,0,Hex
8744c148effffff,11,Hex
8744c1490ffffff,0,Hex
8744c1491ffffff,1,Hex
8744c1492ffffff,1,Hex
