ShortLabel,ROcc_Hus,Geo
13121011444,0,Tract
13121011445,67,Tract
13121011446,0,Tract
13121011505,24,Tract
13121011507,25,Tract
13121011508,8,Tract
13121011509,0,Tract
13121011510,28,Tract
13121011511,18,Tract
13121011512,43,Tract
13121011513,0,Tract
13121011514,85,Tract
13121011515,44,Tract
13121011612,29,Tract
13121011618,475,Tract
13121011624,30,Tract
13121011627,473,Tract
13121011628,759,Tract
13121011629,93,Tract
13121011630,387,Tract
13121011631,1040,Tract
13121011632,434,Tract
13121011633,159,Tract
13121011634,304,Tract
13121011635,67,Tract
13121011636,758,Tract
13121011637,255,Tract
13121011638,212,Tract
13121011639,498,Tract
13121011640,1131,Tract
13121011641,60,Tract
13121011642,360,Tract
13121011643,2459,Tract
13121011644,402,Tract
13121011645,425,Tract
13121011646,1113,Tract
13121011647,885,Tract
13121011648,5,Tract
13121011649,369,Tract
13121011650,589,Tract
13121011651,311,Tract
13121011652,524,Tract
13121011653,10,Tract
13121011654,471,Tract
13121011655,136,Tract
13121011656,81,Tract
13121011657,65,Tract
13121011658,302,Tract
13121011659,158,Tract
13121011660,631,Tract
13121011661,23,Tract
13121011801,378,Tract
13121011802,461,Tract
13121011901,765,Tract
13121011902,756,Tract
13121012000,1434,Tract
13121012300,748,Tract
13121980000,0,Tract
13135050105,639,Tract
13135050110,457,Tract
13135050111,199,Tract
13135050112,754,Tract
13135050113,746,Tract
13135050114,298,Tract
13135050115,374,Tract
13135050116,182,Tract
13135050117,162,Tract
13135050118,396,Tract
13135050119,331,Tract
13135050120,21,Tract
13135050121,106,Tract
13135050205,991,Tract
13135050215,1154,Tract
13135050218,880,Tract
13135050219,722,Tract
13135050221,808,Tract
13135050222,1210,Tract
13135050223,2279,Tract
13135050224,551,Tract
13135050225,1165,Tract
13135050226,643,Tract
13135050227,298,Tract
13135050228,1328,Tract
13135050229,1278,Tract
13135050230,777,Tract
13135050231,1169,Tract
13135050232,47,Tract
13135050233,121,Tract
13135050234,134,Tract
13135050235,570,Tract
13135050236,385,Tract
13135050237,39,Tract
13135050238,869,Tract
13135050239,92,Tract
13135050240,53,Tract
13135050241,116,Tract
13135050242,13,Tract
13135050243,109,Tract
13135050244,178,Tract
13135050306,565,Tract
13135050308,36,Tract
13135050311,451,Tract
13135050315,1870,Tract
13135050317,1631,Tract
13135050318,1058,Tract
13135050321,73,Tract
13135050322,106,Tract
13135050323,73,Tract
13135050324,1343,Tract
13135050325,254,Tract
13135050326,521,Tract
13135050327,670,Tract
13135050328,547,Tract
13135050329,819,Tract
13135050330,304,Tract
13135050331,799,Tract
13135050332,1055,Tract
13135050333,1294,Tract
13135050334,976,Tract
13135050335,896,Tract
13135050336,222,Tract
13135050415,230,Tract
13135050416,362,Tract
13135050425,232,Tract
13135050427,162,Tract
13135050430,614,Tract
13135050433,471,Tract
13135050435,626,Tract
13135050437,910,Tract
13135050438,835,Tract
13135050439,1177,Tract
13135050440,788,Tract
13135050441,978,Tract
13135050442,179,Tract
13135050443,181,Tract
13135050444,258,Tract
13135050445,1281,Tract
13135050446,990,Tract
13135050447,562,Tract
13135050448,968,Tract
13135050449,750,Tract
13135050450,305,Tract
13135050451,1066,Tract
13135050452,671,Tract
13135050453,781,Tract
13135050454,811,Tract
13135050455,466,Tract
13135050456,1487,Tract
13135050457,100,Tract
13135050458,153,Tract
13135050459,395,Tract
13135050460,655,Tract
13135050461,53,Tract
13135050462,73,Tract
13135050463,1676,Tract
13135050464,265,Tract
13135050465,98,Tract
13135050466,172,Tract
13135050520,1553,Tract
13135050521,1157,Tract
13135050522,1170,Tract
13135050526,1175,Tract
13135050528,141,Tract
13135050529,610,Tract
13135050530,197,Tract
13135050536,809,Tract
13135050537,1831,Tract
13135050539,1035,Tract
13135050541,2280,Tract
13135050542,2365,Tract
13135050549,453,Tract
13135050550,397,Tract
13135050551,153,Tract
13135050552,55,Tract
13135050553,110,Tract
13135050554,455,Tract
13135050555,274,Tract
13135050556,1068,Tract
13135050557,131,Tract
13135050558,269,Tract
13135050559,235,Tract
13135050560,438,Tract
13135050561,608,Tract
13135050562,996,Tract
13135050563,201,Tract
13135050564,1514,Tract
13135050565,259,Tract
13135050566,62,Tract
13135050567,481,Tract
13135050568,398,Tract
13135050569,613,Tract
13135050570,268,Tract
13135050571,550,Tract
13135050572,191,Tract
13135050573,75,Tract
13135050574,1709,Tract
13135050575,317,Tract
13135050576,485,Tract
13135050577,715,Tract
13135050578,190,Tract
13135050579,189,Tract
13135050580,135,Tract
13135050581,308,Tract
13135050582,129,Tract
13135050583,174,Tract
13135050584,91,Tract
13135050585,267,Tract
13135050586,236,Tract
13135050587,121,Tract
13135050588,480,Tract
13135050589,302,Tract
13135050590,112,Tract
13135050591,44,Tract
13135050611,600,Tract
13135050612,288,Tract
13135050613,159,Tract
13135050614,469,Tract
13135050615,128,Tract
13135050616,107,Tract
13135050617,614,Tract
13135050618,71,Tract
13135050619,167,Tract
13135050620,13,Tract
13135050621,71,Tract
13135050622,352,Tract
13135050623,280,Tract
13135050624,149,Tract
13135050625,121,Tract
13135050626,90,Tract
13135050627,191,Tract
13135050628,405,Tract
13135050629,83,Tract
13135050630,226,Tract
13135050631,376,Tract
13135050632,122,Tract
13135050633,663,Tract
13135050634,676,Tract
13135050635,50,Tract
13135050636,277,Tract
13135050715,217,Tract
13135050719,905,Tract
13135050722,129,Tract
13135050725,428,Tract
13135050729,706,Tract
13135050732,534,Tract
13135050733,211,Tract
13135050734,144,Tract
13135050735,185,Tract
13135050736,612,Tract
13135050737,106,Tract
13135050738,190,Tract
13135050739,92,Tract
13135050740,97,Tract
13135050741,184,Tract
13135050742,199,Tract
13135050743,41,Tract
13135050744,361,Tract
13135050745,732,Tract
13135050746,358,Tract
13135050747,731,Tract
13135050748,170,Tract
13135050749,158,Tract
13135050750,219,Tract
13135050751,246,Tract
13135050752,260,Tract
13135050753,206,Tract
13135050754,254,Tract
13135050755,104,Tract
13135050756,87,Tract
13135050757,177,Tract
13135050758,91,Tract
13135050759,42,Tract
13135050760,130,Tract
13135050761,56,Tract
13135050762,289,Tract
13135050763,171,Tract
13135050764,369,Tract
13135050765,37,Tract
13151070109,210,Tract
13151070113,660,Tract
13151070114,1916,Tract
13151070115,475,Tract
13151070116,290,Tract
13151070117,142,Tract
13151070118,100,Tract
13151070119,1650,Tract
13151070120,246,Tract
13151070121,166,Tract
13151070122,204,Tract
13151070123,1215,Tract
13151070124,174,Tract
13151070125,52,Tract
13151070126,355,Tract
13151070127,228,Tract
13151070128,510,Tract
13151070204,174,Tract
13151070206,43,Tract
13151070207,86,Tract
13151070208,158,Tract
13151070209,94,Tract
13151070210,26,Tract
13151070211,519,Tract
13151070212,520,Tract
13151070213,0,Tract
13151070214,122,Tract
13151070215,13,Tract
13151070216,224,Tract
13151070307,245,Tract
13151070310,307,Tract
13151070312,668,Tract
13151070313,490,Tract
13151070314,166,Tract
13151070315,288,Tract
13151070316,109,Tract
13151070317,1418,Tract
13151070318,226,Tract
13151070319,499,Tract
13151070320,686,Tract
13151070321,95,Tract
13151070322,913,Tract
13151070323,1004,Tract
13151070324,1004,Tract
13151070325,525,Tract
13151070405,136,Tract
13151070406,47,Tract
13151070407,100,Tract
13151070408,38,Tract
13151070409,129,Tract
13151070410,397,Tract
13151070411,654,Tract
13151070412,527,Tract
13151070503,607,Tract
13151070504,177,Tract
13151070505,443,Tract
13151070506,571,Tract
13151070507,34,Tract
13151070508,126,Tract
13247060101,224,Tract
13247060103,67,Tract
13247060104,412,Tract
13247060201,656,Tract
13247060203,660,Tract
13247060204,416,Tract
13247060305,1881,Tract
13247060306,193,Tract
13247060310,567,Tract
13247060311,503,Tract
13247060312,218,Tract
13247060313,438,Tract
13247060314,696,Tract
13247060315,417,Tract
13247060316,1063,Tract
13247060317,841,Tract
13247060318,927,Tract
13247060403,87,Tract
13247060406,179,Tract
13247060407,261,Tract
13247060408,137,Tract
